FPRODUCT;FAO;FAO_quantity
abaca;Abaca;
apple;Apples and products;Apples
banana;Bananas;Bananas
barley;Barley and products;Barley
beans;Beans;Beans, green
beans;Beans;Beans, dry
beef;Bovine Meat;Meat, cattle
cassava;Cassava and products;Cassava
cereal_other;Cereals, Other;Cereals nes
citrus_other;Citrus, Other;Fruit, citrus nes
clove;Cloves;Cloves
cocoa;Cocoa Beans and products;Cocoa, beans
coconut;Coconuts - Incl Copra;Coconuts
coffee;Coffee and products;Coffee, green
cotton;Cottonseed;Cottonseed
date;Dates;Dates
eggs;Eggs;Eggs, hen, in shell
fish;Fish Seafood + (Total);
fruit_other;Fruits, Other;Fruit, tropical fresh nes
fruit_other;Fruits, Other;Fruit, stone nes
fruit_other;Fruits, Other;Fruit, fresh nes
grapefruit;Grapefruit and products;Grapefruit (inc. pomelos)
grape;Grapes and products (excl wine);Grapes
groundnut;Groundnuts (in Shell Eq);Groundnuts, with shell
fiber_hard_other;Hard Fibres, Other;
honey;Honey;Honey, natural
jute;Jute;Jute
lemon;Lemons, Limes and products;Lemons and limes
corn;Maize and products;Maize, green
corn;Maize and products;Maize
meat_other;Meat Other;
milk;Milk - Excluding Butter;
millet;Millet and products;Millet
mutton_goat;Mutton & Goat Meat;Meat, goat
mutton_goat;Mutton & Goat Meat;Meat, sheep
nuts;Nuts and products;Nuts nes
oats;Oats;Oats
offal;Offals Edible;
oilseed_other;Oilcrops, Other;Oilseeds nes
olive;Olives (including preserved);Olives
onion;Onions;Onions, dry
orange;Oranges, Mandarines;Oranges
palm_oil;Palm Oil;Oil, palm
OilPalmFruit;Oil Palm fruit;Oil palm fruit
peas;Peas;peas, green
peas;Peas;peas, dry
pepper;Pepper;Chillies and peppers, dry
pepper;Pepper;Chillies and peppers, green
pork;Pigmeat;Meat, pig
piment;Pimento;
pinapple;Pineapples and products;Pineapples
plantain;Plantains;Plantains and others
potato;Potatoes and products;Potatoes
chicken;Poultry Meat;Meat, chicken
pulses_other;Pulses, Other and products;Pulses nes
rapeseed;Rape and Mustardseed;Rapeseed
rice;Rice (Milled Equivalent);Rice, paddy
tuber_other;Roots, Other;Roots and tubers nes
rubber;Rubber;Rubber, natural
rye;Rye and products;Rye
sesame;Sesame seed;Sesame seed
sisal;Sisal;Sisal
fiber_soft_other;Soft-Fibres, Other;
sorghum;Sorghum and products;Sorghum
soyabean;Soyabeans;Soybeans
spices_other;Spices, Other;Spices nes
sugarbeet;Sugar beet;Sugar beet
sugarcane;Sugar cane;Sugar cane
sunflower;Sunflower seed;Sunflower seed
sweet_potato;Sweet potatoes;Sweet potatoes
tea;Tea (including mate);Tea
tobacco;Tobacco;Tobacco, unmanufactured
tomato;Tomatoes and products;Tomatoes
vegetable_other;Vegetables, Other;Vegetables, fresh nes
wheat;Wheat and products;Wheat
yams;Yams;Yams
cottoil;Cottonseed Oil;
groundnutoil;Groundnut Oil;
palmkerneloil;Palmkernel Oil;
oliveoil;Olive Oil;
other_oil;Oilcrops Oil, Other;Oilseeds nes
rapeoil;Rape and Mustard Oil;
sesamoil;Sesameseed Oil;
soycake;Soyabean Cake;
soyoil;Soyabean Oil;
sugarraw;Sugar (Raw Equivalent);
sunfloil;Sunflowerseed Oil;
cocooil;Coconut Oil;
cottlint;Cotton lint;Cotton lint
